category,environment,planner,metric,value
action_impact,stripe,,affected_cells_mean,15.892857142857142
action_impact,stripe,,affected_cells_min,4
action_impact,stripe,,affected_cells_max,24
action_impact,segment,,affected_cells_mean,2.6726726726726726
action_impact,segment,,affected_cells_min,1
action_impact,segment,,affected_cells_max,4
reward_signal,stripe,masked_random,coverage_completion_share,0.6887518942977372
reward_signal,stripe,masked_random,thermal_share,0.2504475944167603
reward_signal,stripe,masked_random,jump_share,0.060800511285502325
reward_signal,segment,masked_random,coverage_completion_share,0.6687293793316502
reward_signal,segment,masked_random,thermal_share,0.26089111376673063
reward_signal,segment,masked_random,jump_share,0.07037950690161432
clustering,stripe,random,early_adjacency_ratio,0.1875
clustering,stripe,random,cumulative_early_reheat,-0.330078787975508
clustering,stripe,distance_aware_cool_first,early_adjacency_ratio,0.0
clustering,stripe,distance_aware_cool_first,cumulative_early_reheat,-0.546515826803875
clustering,segment,random,early_adjacency_ratio,0.06060606060606061
clustering,segment,random,cumulative_early_reheat,-2.3360950808443204
clustering,segment,distance_aware_cool_first,early_adjacency_ratio,0.010101010101010102
clustering,segment,distance_aware_cool_first,cumulative_early_reheat,-1.8244205260399378
