setting,metric,value
stripe,affected_cells_mean,15.892857142857142
stripe,affected_cells_std,7.257209645361963
stripe,affected_cells_min,4
stripe,affected_cells_max,24
stripe,coverage_completion_share,0.6844224845638995
stripe,thermal_share,0.2534013531999809
stripe,jump_share,0.062176162236116564
stripe,random_early_adjacency_ratio,0.1875
stripe,random_cumulative_early_reheat,-0.330078787975508
stripe,random_early_peak_heat,0.4854334470103769
stripe,random_early_heat_variance,0.0030890925075201425
stripe,distance_aware_cool_first_early_adjacency_ratio,0.0
stripe,distance_aware_cool_first_cumulative_early_reheat,-0.546515826803875
stripe,distance_aware_cool_first_early_peak_heat,0.49196531141505523
stripe,distance_aware_cool_first_early_heat_variance,0.0031707378528902635
stripe,cool_first_early_adjacency_ratio,0.0625
stripe,cool_first_cumulative_early_reheat,-0.08316404285022294
stripe,cool_first_early_peak_heat,0.48197536608752084
stripe,cool_first_early_heat_variance,0.0027922672589364298
segment4,affected_cells_mean,3.9732142857142856
segment4,affected_cells_std,1.8514464491531029
segment4,affected_cells_min,1
segment4,affected_cells_max,6
segment4,coverage_completion_share,0.6676700440102891
segment4,thermal_share,0.26284114020860816
segment4,jump_share,0.06948881578109949
segment4,random_early_adjacency_ratio,0.07462686567164178
segment4,random_cumulative_early_reheat,-1.696125730416262
segment4,random_early_peak_heat,0.48762984530014153
segment4,random_early_heat_variance,0.002779304895632188
segment4,distance_aware_cool_first_early_adjacency_ratio,0.029850746268656716
segment4,distance_aware_cool_first_cumulative_early_reheat,-1.6673175722472338
segment4,distance_aware_cool_first_early_peak_heat,0.47681258268216076
segment4,distance_aware_cool_first_early_heat_variance,0.002777338167053291
segment4,cool_first_early_adjacency_ratio,0.0
segment4,cool_first_cumulative_early_reheat,-0.3218491566415156
segment4,cool_first_early_peak_heat,0.4744972959160805
segment4,cool_first_early_heat_variance,0.002359579389603288
segment6,affected_cells_mean,2.6726726726726726
segment6,affected_cells_std,1.226975726490692
segment6,affected_cells_min,1
segment6,affected_cells_max,4
segment6,coverage_completion_share,0.6678344095352639
segment6,thermal_share,0.2616540153525661
segment6,jump_share,0.07051157511216219
segment6,random_early_adjacency_ratio,0.06060606060606061
segment6,random_cumulative_early_reheat,-2.3360950808443204
segment6,random_early_peak_heat,0.4754903331398964
segment6,random_early_heat_variance,0.0023901007894892245
segment6,distance_aware_cool_first_early_adjacency_ratio,0.010101010101010102
segment6,distance_aware_cool_first_cumulative_early_reheat,-1.8244205260399378
segment6,distance_aware_cool_first_early_peak_heat,0.4602269870042801
segment6,distance_aware_cool_first_early_heat_variance,0.0025353056217136327
segment6,cool_first_early_adjacency_ratio,0.0
segment6,cool_first_cumulative_early_reheat,-0.38057606215492
segment6,cool_first_early_peak_heat,0.45795936226844786
segment6,cool_first_early_heat_variance,0.0020141586738463956
segment8,affected_cells_mean,2.144578313253012
segment8,affected_cells_std,0.8320757918513833
segment8,affected_cells_min,1
segment8,affected_cells_max,3
segment8,coverage_completion_share,0.6745824091533849
segment8,thermal_share,0.2547536248255267
segment8,jump_share,0.07066396602109216
segment8,random_early_adjacency_ratio,0.04838709677419355
segment8,random_cumulative_early_reheat,-3.161370300191795
segment8,random_early_peak_heat,0.45600828766822815
segment8,random_early_heat_variance,0.0021242252876982094
segment8,distance_aware_cool_first_early_adjacency_ratio,0.06451612903225806
segment8,distance_aware_cool_first_cumulative_early_reheat,-2.81897472475985
segment8,distance_aware_cool_first_early_peak_heat,0.4507806441783905
segment8,distance_aware_cool_first_early_heat_variance,0.0023644450941355897
segment8,cool_first_early_adjacency_ratio,0.0
segment8,cool_first_cumulative_early_reheat,-0.5382469477788152
segment8,cool_first_early_peak_heat,0.43743422174453733
segment8,cool_first_early_heat_variance,0.001745995551464148
