reward_variant,planner,total_reward,coverage,invalid,peak,variance,reheat,jump,completion_bonus,support_risk,steps,coverage_ratio,peak_heat_final,heat_variance_final
variant_0,random,589.0089092852844,890.0,0.0,-222.6446040153504,-0.9801055795833236,-22.328094061840904,-63.038287057941226,8.0,0.0,890,1.0,0.2918927073478699,0.0010255160741508007
variant_0,cool_first,616.1430751799894,890.0,0.0,-210.5851964473723,-0.7459277066809591,-8.24676082911992,-62.279039836837676,8.0,0.0,890,1.0,0.32062163949012756,0.0012003311421722174
variant_0,distance_aware_cool_first,664.75194337018,890.0,0.0,-209.67909274101268,-0.803480775517528,-7.674719574485971,-15.090763538804717,8.0,0.0,890,1.0,0.3711099624633789,0.0015433046501129866
variant_0,raster,376.0832463790739,890.0,0.0,-361.73198285102904,-3.1014660210494185,-149.23363459333794,-7.849670155510679,8.0,0.0,890,1.0,0.5554385781288147,0.0037291194312274456
variant_1,random,553.0241469439455,890.0,0.0,-222.6446040153504,-0.9801055795833236,-26.793712874209078,-94.55743058691156,8.0,0.0,890,1.0,0.2918927073478699,0.0010255160741508007
variant_1,cool_first,583.354203095747,890.0,0.0,-210.5851964473723,-0.7459277066809591,-9.896112994943895,-93.41855975525648,8.0,0.0,890,1.0,0.32062163949012756,0.0012003311421722174
variant_1,distance_aware_cool_first,655.6716176858802,890.0,0.0,-209.67909274101268,-0.803480775517528,-9.209663489383175,-22.636145308207148,8.0,0.0,890,1.0,0.3711099624633789,0.0015433046501129866
variant_1,raster,342.3116843826507,890.0,0.0,-361.73198285102904,-3.1014660210494185,-179.0803615120054,-11.774505233266083,8.0,0.0,890,1.0,0.5554385781288147,0.0037291194312274456
variant_2,random,520.3885987118836,890.0,0.0,-222.6446040153504,-0.9801055795833236,-27.910117577301115,-126.07657411588245,8.0,0.0,890,1.0,0.2918927073478699,0.0010255160741508007
variant_2,cool_first,551.8023451358714,890.0,0.0,-210.5851964473723,-0.7459277066809591,-10.308451036399905,-124.55807967367535,8.0,0.0,890,1.0,0.32062163949012756,0.0012003311421722174
variant_2,distance_aware_cool_first,647.7424999377533,890.0,0.0,-209.67909274101268,-0.803480775517528,-9.593399468107469,-30.181527077609434,8.0,0.0,890,1.0,0.3711099624633789,0.0015433046501129866
variant_2,raster,330.9251675752268,890.0,0.0,-361.73198285102904,-3.1014660210494185,-186.54204324167227,-15.699340311021357,8.0,0.0,890,1.0,0.5554385781288147,0.0037291194312274456
